Nozzle, Nozzle type (SUPER_SHORT|BLOCKED|OFFSET|INSTALLED|COVERED), Orifice diameter
A1, INSTALLED, 500
A2, INSTALLED, 1000
A3, OFFSET, 1000
A4, BLOCKED, 0
A5, INSTALLED, 500
A6, INSTALLED, 500
A7, INSTALLED, 1000
A8, INSTALLED, 1000
A9, OFFSET, 1000
A10, BLOCKED, 1000
A11, INSTALLED, 1000
A12, INSTALLED, 1000
A13, INSTALLED, 1000
A14, INSTALLED, 1000
A15, INSTALLED, 1000
A16, INSTALLED, 1000
A17, INSTALLED, 1000
A18, INSTALLED, 1000
A19, INSTALLED, 1000
A20, INSTALLED, 500
A21, INSTALLED, 500
A22, INSTALLED, 500
A23, INSTALLED, 500
A24, INSTALLED, 500
A25, INSTALLED, 1000
A26, INSTALLED, 1000
A27, INSTALLED, 1000
A28, INSTALLED, 1000
A29, INSTALLED, 1000
A30, INSTALLED, 1000
A31, INSTALLED, 1000
A32, INSTALLED, 1000
A33, OFFSET, 1000
A34, COVERED, 1000
A35, OFFSET, 1000
A36, INSTALLED, 1000
A37, INSTALLED, 1000
A38, OFFSET, 1000
A39, INSTALLED, 500
A40, INSTALLED, 500
A41, INSTALLED, 1000
A42, INSTALLED, 500
A43, INSTALLED, 500
A44, INSTALLED, 1000
A45, INSTALLED, 1000
A46, INSTALLED, 1000
A47, INSTALLED, 1000
A48, INSTALLED, 1000
A49, INSTALLED, 1000
A50, INSTALLED, 1000
A51, INSTALLED, 1000
A52, INSTALLED, 1000
A53, INSTALLED, 1000
A54, INSTALLED, 1000
A55, INSTALLED, 1000
A56, INSTALLED, 1000
A57, OFFSET, 1000
A58, OFFSET, 1000
A59, OFFSET, 1000
A60, INSTALLED, 1000
A61, INSTALLED, 1000
A62, INSTALLED, 500
A63, OFFSET, 1000
A64, COVERED, 1000
A65, OFFSET, 1000
A66, INSTALLED, 1000
A67, INSTALLED, 1000
A68, INSTALLED, 1000
A69, OFFSET, 1000
A70, SUPER_SHORT, 1000
A71, OFFSET, 1000
A72, INSTALLED, 1000
A73, INSTALLED, 1000
A74, INSTALLED, 1000
A75, INSTALLED, 1000
A76, INSTALLED, 1000
A77, INSTALLED, 1000
A78, INSTALLED, 500
A79, INSTALLED, 500
A80, INSTALLED, 1000
A81, INSTALLED, 500
A82, INSTALLED, 500
A83, INSTALLED, 1000
A84, INSTALLED, 1000
A85, INSTALLED, 1000
A86, INSTALLED, 1000
A87, INSTALLED, 1000
A88, INSTALLED, 1000
A89, INSTALLED, 1000
A90, INSTALLED, 1000
A91, INSTALLED, 1000
A92, INSTALLED, 1000
A93, INSTALLED, 1000
A94, INSTALLED, 1000
A95, INSTALLED, 1000
A96, INSTALLED, 1000
A97, INSTALLED, 500
A98, OFFSET, 1000
A99, COVERED, 1000
A100, OFFSET, 1000
A101, INSTALLED, 1000
A102, INSTALLED, 1000
A103, INSTALLED, 1000
A104, OFFSET, 1000
A105, COVERED, 1000
A106, OFFSET, 1000
A107, INSTALLED, 1000
A108, INSTALLED, 1000
A109, INSTALLED, 1000
A110, OFFSET, 1000
A111, COVERED, 1000
A112, OFFSET, 1000
A113, INSTALLED, 1000
A114, INSTALLED, 500
A115, INSTALLED, 1000
A116, INSTALLED, 1000
A117, INSTALLED, 1000
A118, INSTALLED, 1000
A119, INSTALLED, 1000
A120, INSTALLED, 1000
A121, INSTALLED, 1000
A122, INSTALLED, 1000
A123, INSTALLED, 1000
A124, INSTALLED, 1000
A125, INSTALLED, 1000
A126, INSTALLED, 1000
A127, INSTALLED, 1000
A128, INSTALLED, 1000
A129, INSTALLED, 1000
A130, OFFSET, 1000
A131, INSTALLED, 1000
A132, INSTALLED, 1000
A133, INSTALLED, 1000
A134, OFFSET, 1000
A135, COVERED, 1000
A136, OFFSET, 1000
A137, INSTALLED, 1000
A138, INSTALLED, 1000
A139, INSTALLED, 1000
A140, OFFSET, 1000
A141, COVERED, 1000
A142, OFFSET, 1000
A143, INSTALLED, 1000
A144, INSTALLED, 1000
A145, INSTALLED, 1000
A146, INSTALLED, 1000
A147, OFFSET, 1000
A148, INSTALLED, 1000
A149, INSTALLED, 1000
A150, INSTALLED, 1000
A151, INSTALLED, 1000
A152, INSTALLED, 1000
A153, INSTALLED, 1000
A154, INSTALLED, 1000
A155, INSTALLED, 1000
A156, INSTALLED, 1000
A157, OFFSET, 1000
A158, INSTALLED, 1000
A159, INSTALLED, 1000
A160, INSTALLED, 1000
A161, INSTALLED, 1000
A162, INSTALLED, 1000
A163, INSTALLED, 1000
A164, COVERED, 1000
A165, COVERED, 1000
A166, INSTALLED, 1000
A167, INSTALLED, 1000
A168, INSTALLED, 1000
A169, INSTALLED, 1000
A170, COVERED, 1000
A171, COVERED, 1000
A172, INSTALLED, 1000
A173, OFFSET, 1000
A174, INSTALLED, 1000
A175, OFFSET, 1000
A176, OFFSET, 1000
A177, OFFSET, 1000
A178, OFFSET, 1000
A179, INSTALLED, 1000
A180, INSTALLED, 1000
A181, INSTALLED, 1000
A182, INSTALLED, 1000
A183, INSTALLED, 1000
A184, INSTALLED, 1000
A185, OFFSET, 1000
A186, INSTALLED, 1000
A187, INSTALLED, 1000
A188, INSTALLED, 1000
A189, INSTALLED, 1000
A190, INSTALLED, 1000
A191, INSTALLED, 1000
A192, OFFSET, 1000
A193, INSTALLED, 1000
A194, COVERED, 1000
A195, SUPER_SHORT, 1000
A196, OFFSET, 1000
A197, INSTALLED, 1000
A198, INSTALLED, 1000
A199, INSTALLED, 1000
A200, INSTALLED, 1000
A201, OFFSET, 1000
A202, COVERED, 1000
A203, OFFSET, 1000
A204, INSTALLED, 1000
A205, INSTALLED, 1000
A206, INSTALLED, 1000
A207, INSTALLED, 1000
A208, INSTALLED, 1000
A209, INSTALLED, 1000
A210, INSTALLED, 1000
A211, INSTALLED, 1000
A212, INSTALLED, 1000
A213, INSTALLED, 1000
A214, INSTALLED, 1000
A215, INSTALLED, 1000
A216, INSTALLED, 1000
A217, OFFSET, 1000
A218, INSTALLED, 1000
A219, INSTALLED, 1000
A220, INSTALLED, 1000
A221, OFFSET, 1000
A222, COVERED, 1000
A223, COVERED, 1000
A224, INSTALLED, 1000
A225, INSTALLED, 1000
A226, INSTALLED, 1000
A227, INSTALLED, 1000
A228, OFFSET, 1000
